"","x"
"1","abind"
"2","alphavantager"
"3","anytime"
"4","askpass"
"5","assertthat"
"6","backports"
"7","base64enc"
"8","BH"
"9","bit"
"10","bit64"
"11","bitops"
"12","blob"
"13","brew"
"14","brio"
"15","broom"
"16","bslib"
"17","cachem"
"18","callr"
"19","car"
"20","carData"
"21","caret"
"22","cellranger"
"23","checkmate"
"24","cli"
"25","clipr"
"26","colorspace"
"27","commonmark"
"28","conflicted"
"29","cpp11"
"30","crayon"
"31","credentials"
"32","crosstalk"
"33","curl"
"34","data.table"
"35","datapasta"
"36","DBI"
"37","dbplyr"
"38","desc"
"39","devtools"
"40","dials"
"41","DiceDesign"
"42","diffobj"
"43","digest"
"44","doParallel"
"45","dplyr"
"46","dtplyr"
"47","dygraphs"
"48","e1071"
"49","ellipsis"
"50","evaluate"
"51","extraDistr"
"52","fansi"
"53","farver"
"54","fastmap"
"55","fontawesome"
"56","forcats"
"57","foreach"
"58","forecast"
"59","fracdiff"
"60","fs"
"61","furrr"
"62","future"
"63","future.apply"
"64","gargle"
"65","generics"
"66","gert"
"67","ggmap"
"68","ggplot2"
"69","ggvis"
"70","gh"
"71","gitcreds"
"72","glmnet"
"73","globals"
"74","glue"
"75","googledrive"
"76","googlesheets4"
"77","googleVis"
"78","gower"
"79","GPfit"
"80","gridExtra"
"81","gt"
"82","gtable"
"83","hardhat"
"84","haven"
"85","here"
"86","highr"
"87","hms"
"88","htmltools"
"89","htmlwidgets"
"90","httpuv"
"91","httr"
"92","ids"
"93","infer"
"94","ini"
"95","inline"
"96","ipred"
"97","isoband"
"98","iterators"
"99","janitor"
"100","jpeg"
"101","jquerylib"
"102","jsonlite"
"103","knitr"
"104","labeling"
"105","later"
"106","lava"
"107","lazyeval"
"108","lhs"
"109","lifecycle"
"110","listenv"
"111","lme4"
"112","lmtest"
"113","loo"
"114","lubridate"
"115","magrittr"
"116","maps"
"117","maptools"
"118","markdown"
"119","MatrixModels"
"120","matrixStats"
"121","memoise"
"122","mime"
"123","minqa"
"124","modeldata"
"125","ModelMetrics"
"126","modelr"
"127","modeltime"
"128","multcomp"
"129","munsell"
"130","mvtnorm"
"131","nloptr"
"132","numDeriv"
"133","odbc"
"134","openssl"
"135","padr"
"136","parallelly"
"137","parsnip"
"138","patchwork"
"139","pbkrtest"
"140","PerformanceAnalytics"
"141","pillar"
"142","pkgbuild"
"143","pkgconfig"
"144","pkgload"
"145","plogr"
"146","plotly"
"147","plyr"
"148","png"
"149","praise"
"150","prettyunits"
"151","pROC"
"152","processx"
"153","prodlim"
"154","progress"
"155","progressr"
"156","promises"
"157","prophet"
"158","proxy"
"159","ps"
"160","purrr"
"161","quadprog"
"162","Quandl"
"163","quantmod"
"164","quantreg"
"165","R6"
"166","randomForest"
"167","rappdirs"
"168","rcmdcheck"
"169","RColorBrewer"
"170","Rcpp"
"171","RcppArmadillo"
"172","RcppEigen"
"173","RcppParallel"
"174","RcppRoll"
"175","reactable"
"176","reactR"
"177","readr"
"178","readxl"
"179","recipes"
"180","rematch"
"181","rematch2"
"182","remotes"
"183","reprex"
"184","reshape2"
"185","rgl"
"186","RgoogleMaps"
"187","riingo"
"188","rJava"
"189","rjson"
"190","rlang"
"191","rmarkdown"
"192","RMySQL"
"193","roxygen2"
"194","rprojroot"
"195","rsample"
"196","RSQLite"
"197","rstan"
"198","rstantools"
"199","rstudioapi"
"200","rversions"
"201","rvest"
"202","sandwich"
"203","sass"
"204","scales"
"205","selectr"
"206","sessioninfo"
"207","shape"
"208","shiny"
"209","shiny.semantic"
"210","slider"
"211","snakecase"
"212","sourcetools"
"213","sp"
"214","SparseM"
"215","SQUAREM"
"216","StanHeaders"
"217","stringi"
"218","stringr"
"219","sys"
"220","testthat"
"221","TH.data"
"222","tibble"
"223","tidymodels"
"224","tidyquant"
"225","tidyr"
"226","tidyselect"
"227","tidyverse"
"228","timeDate"
"229","timetk"
"230","tinytex"
"231","tseries"
"232","tsfeatures"
"233","TTR"
"234","tune"
"235","tzdb"
"236","urca"
"237","usethis"
"238","utf8"
"239","uuid"
"240","vcd"
"241","vctrs"
"242","viridisLite"
"243","vroom"
"244","waldo"
"245","warp"
"246","whisker"
"247","withr"
"248","workflows"
"249","workflowsets"
"250","xfun"
"251","xgboost"
"252","XLConnect"
"253","xlsx"
"254","xlsxjars"
"255","XML"
"256","xml2"
"257","xopen"
"258","xtable"
"259","xts"
"260","yaml"
"261","yardstick"
"262","zip"
"263","zoo"
"264","foreign"
"265","mgcv"
"266","nlme"
"267","survival"
"268","boot"
"269","class"
"270","cluster"
"271","codetools"
"272","KernSmooth"
"273","lattice"
"274","MASS"
"275","Matrix"
"276","nnet"
"277","rpart"
"278","spatial"
